"","Year","Scenario","TraceNumber","CNF_LF","ID"
"127",2055,"ObsRes",3,11.095455,127
"128",2056,"ObsRes",3,16.439485,128
"129",2057,"ObsRes",3,15.139293,129
"130",2058,"ObsRes",3,16.933581,130
"131",2059,"ObsRes",3,13.140416,131
"132",2060,"ObsRes",3,12.505894,132
"133",2017,"ObsRes",4,22.198132,133
"134",2018,"ObsRes",4,14.596645,134
"135",2019,"ObsRes",4,15.650022,135
"136",2020,"ObsRes",4,18.623405,136
"137",2021,"ObsRes",4,14.53638,137
"138",2022,"ObsRes",4,21.354813,138
"139",2023,"ObsRes",4,13.623272,139
"140",2024,"ObsRes",4,20.142885,140
"141",2025,"ObsRes",4,22.942804,141
"142",2026,"ObsRes",4,15.865937,142
"143",2027,"ObsRes",4,12.651367,143
"144",2028,"ObsRes",4,22.287631,144
"145",2029,"ObsRes",4,22.526783,145
"146",2030,"ObsRes",4,18.447196,146
"147",2031,"ObsRes",4,19.024047,147
"148",2032,"ObsRes",4,13.877797,148
"149",2033,"ObsRes",4,14.430703,149
"150",2034,"ObsRes",4,15.21373,150
"151",2035,"ObsRes",4,19.539212,151
"152",2036,"ObsRes",4,16.954335,152
"153",2037,"ObsRes",4,21.829584,153
"154",2038,"ObsRes",4,14.62104,154
"155",2039,"ObsRes",4,8.474133,155
"156",2040,"ObsRes",4,17.422186,156
"157",2041,"ObsRes",4,12.183502,157
"158",2042,"ObsRes",4,6.17819,158
"159",2043,"ObsRes",4,12.630349,159
"160",2044,"ObsRes",4,14.648871,160
"161",2045,"ObsRes",4,14.306056,161
"162",2046,"ObsRes",4,18.148319,162
"163",2047,"ObsRes",4,11.164062,163
"164",2048,"ObsRes",4,9.931656,164
"165",2049,"ObsRes",4,20.116677,165
"166",2050,"ObsRes",4,17.225136,166
"167",2051,"ObsRes",4,13.731401,167
"168",2052,"ObsRes",4,15.369422,168
"169",2053,"ObsRes",4,14.140528,169
"170",2054,"ObsRes",4,11.095455,170
"171",2055,"ObsRes",4,16.439485,171
"172",2056,"ObsRes",4,15.139293,172
"173",2057,"ObsRes",4,16.933581,173
"174",2058,"ObsRes",4,13.140416,174
"175",2059,"ObsRes",4,12.505894,175
"176",2060,"ObsRes",4,20.805422,176
"177",2017,"ObsRes",5,14.596645,177
"178",2018,"ObsRes",5,15.650022,178
"179",2019,"ObsRes",5,18.623405,179
"180",2020,"ObsRes",5,14.53638,180
"181",2021,"ObsRes",5,21.354813,181
"182",2022,"ObsRes",5,13.623272,182
"183",2023,"ObsRes",5,20.142885,183
"184",2024,"ObsRes",5,22.942804,184
"185",2025,"ObsRes",5,15.865937,185
"186",2026,"ObsRes",5,12.651367,186
"187",2027,"ObsRes",5,22.287631,187
"188",2028,"ObsRes",5,22.526783,188
"189",2029,"ObsRes",5,18.447196,189
"190",2030,"ObsRes",5,19.024047,190
"191",2031,"ObsRes",5,13.877797,191
"192",2032,"ObsRes",5,14.430703,192
"193",2033,"ObsRes",5,15.21373,193
"194",2034,"ObsRes",5,19.539212,194
"195",2035,"ObsRes",5,16.954335,195
"196",2036,"ObsRes",5,21.829584,196
"197",2037,"ObsRes",5,14.62104,197
"198",2038,"ObsRes",5,8.474133,198
"199",2039,"ObsRes",5,17.422186,199
"200",2040,"ObsRes",5,12.183502,200
"201",2041,"ObsRes",5,6.17819,201
"202",2042,"ObsRes",5,12.630349,202
"203",2043,"ObsRes",5,14.648871,203
"204",2044,"ObsRes",5,14.306056,204
"205",2045,"ObsRes",5,18.148319,205
"206",2046,"ObsRes",5,11.164062,206
"207",2047,"ObsRes",5,9.931656,207
"208",2048,"ObsRes",5,20.116677,208
"209",2049,"ObsRes",5,17.225136,209
"210",2050,"ObsRes",5,13.731401,210
"211",2051,"ObsRes",5,15.369422,211
"212",2052,"ObsRes",5,14.140528,212
"213",2053,"ObsRes",5,11.095455,213
"214",2054,"ObsRes",5,16.439485,214
"215",2055,"ObsRes",5,15.139293,215
"216",2056,"ObsRes",5,16.933581,216
"217",2057,"ObsRes",5,13.140416,217
"218",2058,"ObsRes",5,12.505894,218
"219",2059,"ObsRes",5,20.805422,219
"220",2060,"ObsRes",5,11.165419,220
"221",2017,"ObsRes",6,15.650022,221
"222",2018,"ObsRes",6,18.623405,222
"223",2019,"ObsRes",6,14.53638,223
"224",2020,"ObsRes",6,21.354813,224
"225",2021,"ObsRes",6,13.623272,225
"226",2022,"ObsRes",6,20.142885,226
"227",2023,"ObsRes",6,22.942804,227
"228",2024,"ObsRes",6,15.865937,228
"229",2025,"ObsRes",6,12.651367,229
"230",2026,"ObsRes",6,22.287631,230
"231",2027,"ObsRes",6,22.526783,231
"232",2028,"ObsRes",6,18.447196,232
"233",2029,"ObsRes",6,19.024047,233
"234",2030,"ObsRes",6,13.877797,234
"235",2031,"ObsRes",6,14.430703,235
"236",2032,"ObsRes",6,15.21373,236
"237",2033,"ObsRes",6,19.539212,237
"238",2034,"ObsRes",6,16.954335,238
"239",2035,"ObsRes",6,21.829584,239
"240",2036,"ObsRes",6,14.62104,240
"241",2037,"ObsRes",6,8.474133,241
"242",2038,"ObsRes",6,17.422186,242
"243",2039,"ObsRes",6,12.183502,243
"244",2040,"ObsRes",6,6.17819,244
"245",2041,"ObsRes",6,12.630349,245
"246",2042,"ObsRes",6,14.648871,246
"247",2043,"ObsRes",6,14.306056,247
"248",2044,"ObsRes",6,18.148319,248
"249",2045,"ObsRes",6,11.164062,249
"250",2046,"ObsRes",6,9.931656,250
"251",2047,"ObsRes",6,20.116677,251
"252",2048,"ObsRes",6,17.225136,252
"253",2049,"ObsRes",6,13.731401,253
"254",2050,"ObsRes",6,15.369422,254
"255",2051,"ObsRes",6,14.140528,255
"256",2052,"ObsRes",6,11.095455,256
"257",2053,"ObsRes",6,16.439485,257
"258",2054,"ObsRes",6,15.139293,258
"259",2055,"ObsRes",6,16.933581,259
"260",2056,"ObsRes",6,13.140416,260
"261",2057,"ObsRes",6,12.505894,261
"262",2058,"ObsRes",6,20.805422,262
"263",2059,"ObsRes",6,11.165419,263
"264",2060,"ObsRes",6,8.496102,264
"265",2017,"ObsRes",7,18.623405,265
"266",2018,"ObsRes",7,14.53638,266
"267",2019,"ObsRes",7,21.354813,267
"268",2020,"ObsRes",7,13.623272,268
"269",2021,"ObsRes",7,20.142885,269
"270",2022,"ObsRes",7,22.942804,270
"271",2023,"ObsRes",7,15.865937,271
"272",2024,"ObsRes",7,12.651367,272
"273",2025,"ObsRes",7,22.287631,273
"274",2026,"ObsRes",7,22.526783,274
"275",2027,"ObsRes",7,18.447196,275
"276",2028,"ObsRes",7,19.024047,276
"277",2029,"ObsRes",7,13.877797,277
"278",2030,"ObsRes",7,14.430703,278
"279",2031,"ObsRes",7,15.21373,279
"280",2032,"ObsRes",7,19.539212,280
"281",2033,"ObsRes",7,16.954335,281
"282",2034,"ObsRes",7,21.829584,282
"283",2035,"ObsRes",7,14.62104,283
"284",2036,"ObsRes",7,8.474133,284
"285",2037,"ObsRes",7,17.422186,285
"286",2038,"ObsRes",7,12.183502,286
"287",2039,"ObsRes",7,6.17819,287
"288",2040,"ObsRes",7,12.630349,288
"289",2041,"ObsRes",7,14.648871,289
"290",2042,"ObsRes",7,14.306056,290
"291",2043,"ObsRes",7,18.148319,291
"292",2044,"ObsRes",7,11.164062,292
"293",2045,"ObsRes",7,9.931656,293
"294",2046,"ObsRes",7,20.116677,294
"295",2047,"ObsRes",7,17.225136,295
"296",2048,"ObsRes",7,13.731401,296
"297",2049,"ObsRes",7,15.369422,297
"298",2050,"ObsRes",7,14.140528,298
"299",2051,"ObsRes",7,11.095455,299
"300",2052,"ObsRes",7,16.439485,300
"301",2053,"ObsRes",7,15.139293,301
"302",2054,"ObsRes",7,16.933581,302
"303",2055,"ObsRes",7,13.140416,303
"304",2056,"ObsRes",7,12.505894,304
"305",2057,"ObsRes",7,20.805422,305
"306",2058,"ObsRes",7,11.165419,306
"307",2059,"ObsRes",7,8.496102,307
"308",2060,"ObsRes",7,9.413908,308
"309",2017,"ObsRes",8,14.53638,309
"310",2018,"ObsRes",8,21.354813,310
"311",2019,"ObsRes",8,13.623272,311
"312",2020,"ObsRes",8,20.142885,312
"313",2021,"ObsRes",8,22.942804,313
"314",2022,"ObsRes",8,15.865937,314
"315",2023,"ObsRes",8,12.651367,315
"316",2024,"ObsRes",8,22.287631,316
"317",2025,"ObsRes",8,22.526783,317
"318",2026,"ObsRes",8,18.447196,318
